,LH_Province
0,NECS
1,NECS
2,NECS
3,NECS
4,NECS
5,NADR
6,NADR
7,NADR
8,NADR
9,NADR
10,NADR
11,NADR
12,NADR
13,NADR
14,NADR
15,NADR
16,NADR
17,NADR
18,NASE
19,NASE
20,NASE
21,NASE
22,NASE
23,NASE
24,NASE
25,NASE
26,NASE
27,NASE
28,NASW
29,NASW
30,NASW
31,NASW
32,NASW
33,NASE
34,NASE
35,NASE
36,NASE
37,NASE
38,NASE
39,NASE
40,NASE
41,NASE
42,NATR
43,NATR
44,NATR
45,NATR
46,NATR
47,NATR
48,NATR
49,NATR
50,NATR
51,NATR
52,NATR
53,NATR
54,NATR
55,NATR
56,NATR
57,NATR
58,NATR
59,NATR
60,NATR
61,NATR
62,NATR
63,NATR
64,NATR
65,NATR
66,NATR
67,NATR
68,WTRA
69,WTRA
70,WTRA
71,WTRA
72,WTRA
73,WTRA
74,WTRA
75,WTRA
76,GUIN
77,WTRA
78,WTRA
79,WTRA
80,WTRA
81,WTRA
82,WTRA
83,WTRA
84,WTRA
85,WTRA
86,WTRA
87,WTRA
88,SATL
89,SATL
90,SATL
91,SATL
92,SATL
93,SATL
94,SATL
95,SATL
96,SATL
97,SATL
98,SATL
99,SATL
100,SATL
101,SATL
102,SATL
103,SATL
104,SATL
105,
106,SATL
107,SATL
108,SATL
109,SATL
110,SATL
111,SATL
112,SATL
113,SATL
114,SATL
115,SATL
116,SATL
117,SATL
118,SATL
119,SATL
120,SATL
121,SATL
122,SATL
123,SATL
124,SATL
125,SATL
126,SATL
127,SATL
128,SATL
129,SATL
130,SATL
131,SATL
132,SSTC
133,SSTC
134,SSTC
135,SSTC
136,SSTC
137,SSTC
138,SSTC
139,SSTC
140,SSTC
141,SSTC
142,SSTC
143,SSTC
144,SSTC
145,SSTC
146,SSTC
147,SSTC
148,NADR
149,NADR
150,NASE
151,NASE
152,NASE
153,NASE
154,NASE
155,NASE
156,NASE
157,NASE
158,NASE
159,NATR
160,NATR
161,NATR
162,NATR
163,NATR
164,NATR
165,NATR
166,NATR
